Giuliano Antoniol; Ecole Polytechnique de Montréal; Canada
Venera Arnaoudova; The University of Texas at Dallas; USA
Alberto Bacchelli; Delft University of Technology; The Netherlands
Olga Baysal; Université de Montréal; Canada
Andrew Begel; Microsoft Research; USA
Dirk Beyer; University of Passau; Germany
Dave Binkley; Loyola University Maryland; USA
Mariano Ceccato; Fondazione Bruno Kessler; Trento
James R. Cordy; Queen's University; Canada
Serge Demeye; Universiteit Antwerpen; Belgium
Massimiliano Di Penta; University of Sannio; Italy
Thomas Fritz; University of Zurich; Switzerland
Alessandro Garcia; Pontifical Catholic University of Rio de Janeiro; Brazil
Mike Godfrey; University of Waterloo; Canada
Mark Grechanik; University of Illinois at Chicago
Stefan Hanenberg; University of Duisburg-Essen; Germany
Mark Harman; University College London
Emily Hill; Montclair State University; USA
Abram Hindle; University of Alberta; Canada
Daqing Hou; Clarkson University; USA
Katsuro Inoue; Osaka University; Japan
Huzefa Kagdi; Wichita State University; USA
Foutse Khomh; Ecole Polytechnique de Montréal; Canada
Rainer Koschke; University of Bremen; Germany
Shinji Kusumoto; Osaka University; Japan
Michele Lanza; University of Lugano; Switzerland
David Lo; Singapore Management University; Singapore
Jonathan Maletic; Kent State University; USA
Andrian Marcus; The University of Texas at Dallas; USA
Collin McMillan; University of Notre Dame; USA
Leon Moonen; Simula Research Laboratory; Norwey
Martin Pinzger; University of Klagenfurt; Austria
Vaclav Rajlich; Wayne State University; USA
Annibale Panichella; Delft University of Technology; The Netherlands
Lori Pollock; University of Delaware; USA
Denys Poshyvanyk; The College of William and Mary; USA
Chanchal K. Roy; University of Saskatchewan
Bonita Sharif; Youngstown State University; USA
Paolo Tonella; Fondazione Bruno Kessler - IRST- Italy
Nikolas Tsantalis; Concordia University; Canada
Bogdan Vasilescu; University of California; USA
Andy Zaidman; Delft University of Technology; The Netherlands
Thomas Zimmermann; Microsoft Research; USA
Nicholas A. Kraft; The University of Alabama; USA
