 Daniel Amyot;University of Ottawa;Canada;
 Giuliano Antoniol;Ìäcole Polytechnique de Montreal;Canada;
 Sven Apel;University of Passau;Germany;
 Andrea Arcuri;Schlumberger and Simula Research Laboratory;Norway;
 Dirk Beyer;University of Passau;Germany;
 Christian Bird;Microsoft Research;USA;
 Travis Breaux;Carnegie Mellon University;USA;
 Yuriy Brun;University of Massachusetts; Amherst;USA
 Tsong Yueh Chen;Swinburne University of Technology;Australia;
 Myra Cohen;University of Nebraska-Lincoln;USA;
 Charles Consel;INRIA / University of Bordeaux;France;
 Jonathan Cook;New Mexico State University;USA;
 Bojan Cukic;West Virginia University;USA;
 Krzysztof Czarnecki;University of Waterloo;Canada;
 Rob DeLine;Microsoft Research;USA;
 Andrea De Lucia;University of Salerno;Italy;
 Cleidson De Souza;Vale Institute of Technology and Federal University of ParÌÁ;Brazil;
 Prem Devanbu;University of California; Davis;USA
 Juergen Dingel;Queen's University;Canada;
 Jin Song Dong;National University of Singapore;Singapore;
 Robert France;Colorado State University;USA;
 Thomas Fritz;University of Zurich;Switzerland;
 Harald Gall;University of Zurich;Switzerland;
 Carlo Ghezzi;Politecnico di Milano;Italy;
 Tony Gorschek;Blekinge Institute of Technology;Sweden;
 Mark Grechanik;University of Illinois at Chicago;USA;
 Paul GrÌ_nbacher;Johannes Kepler University;Austria;
 Ahmed E. Hassan;Queen's University;Canada;
 Mats Heimdahl;University of Minnesota;USA;
 John Hosking;Australian National University;Australia;
 Katsuro Inoue;Osaka University;Japan;
 James A Jones;University of California; Irvine;USA
 Natalia Juristo;Universidad Politecnica de Madrid;Spain;
 Miryung Kim;The University of Texas at Austin;USA;
 Moonzoo Kim;Korea Advanced Institute of Science and Technology;South Korea;
 Andrew Ko;University of Washington;USA;
 Rainer Koschke;University of Bremen;Germany;
 Patricia Lago;VU University Amsterdam;Netherlands;
 Yves Le Traon;University of Luxembourg;Luxembourg;
 Sam Malek;George Mason University;USA;
 Jonathan Maletic;Kent State University;USA;
 Andrian Marcus;Wayne State University;USA;
 Leonardo Mariani;University of Milano Bicocca;Italy;
 Darko Marinov;University of Illinois at Urbana-Champaign;USA;
 Phil McMinn;University of Sheffield;UK;
 Tom Mens;University of Mons;Belgium;
 Tim Menzies;West Virginia University;USA;
 Mira Mezini;Technische UniversitÌ_t Darmstadt;Germany;
 Todd Millstein;University of California; Los Angeles;USA
 Audris Mockus;Avaya Labs;USA;
 Henry Muccini;University of L'Aquila;Italy;
 Leonardo Murta;Universidade Federal Fluminense;Brazil;
 Nachiappan Nagappan;Microsoft Research;USA;
 Iulian Neamtiu;University of California; Riverside;USA
 Tien Nguyen;Iowa State University;USA;
 Manuel Oriol;ABB Corporate Research;Switzerland;
 Alessandro Orso;Georgia Institute of Technology;USA;
 Richard Paige;University of York;UK;
 Victor Pankratius;Massachusetts Institute of Technology;USA;
 Marian Petre;The Open University;UK;
 Dorina Petriu;Carleton University;Canada;
 Martin Pinzger;University of Klagenfurt;Austria;
 Lori Pollock;University of Delaware;USA;
 Denys Poshyvanyk;College of William and Mary;USA;
 BjÌ¦rn Regnell;Lund University;Sweden;
 Roshanak Roshandel;Seattle University;USA;
 Carolyn Seaman;University of Maryland Baltimore County and Fraunhofer Center;USA;
 Martin Shepperd;Brunel University;UK;
 Paul Strooper;The University of Queensland;Australia;
 Eleni Stroulia;University of Alberta;Canada;
 Lin Tan;University of Waterloo;Canada;
 Suresh Thummalapenta;IBM Research;India;
 Richard Torkar;Chalmers University of Technology and University of Gothenburg;Sweden;
 Kapil Vaswani;Microsoft Research;India;
 Michael Whalen;University of Minnesota;USA;
 Jon Whittle;Lancaster University;UK;
 Andreas Zeller;Saarland University;Germany;
 Charles Zhang;Hong Kong University of Science and Technology;China;
