Leon Moonen; Simula Research Laboratory
Lori Pollock; University of Delaware
Surafel Lemma Abebe; Queen's University; Canada
Bram  Adams; MCIS; École Polytechnique de Montréal; Canada
Nasir Ali; Queen's University; Canada
Paul Anderson; GrammaTech Inc.; USA
Nicolas Anquetil; University of Lille-1; France
Vinay Augustine; ABB; USA
Alberto Bacchelli; Delft University of Technology; Netherlands
Doo-Hwan Bae; KAIST; Republic of Korea
Vipin Balachandran; VMWare; USA
Gabriele Bavota; University of Salerno; Italy
Ayse Bener; Ryerson University; Canada
Christian Bird; Microsoft Research; USA
Goetz Botterweck; Lero; University of Limerick; Ireland
Yuanfang Cai; Drexel University; USA
Andrea Capiluppi; Brunel University; UK
Jane Cleland-Huang; DePaul University; USA
Anthony Cleve; University of Namur; Belgium
Laurence Duchien; INRIA - University of Lille-1; France
Jean-Rémy Falleri; Institut Polytechnique de Bordeaux; France
Rudolf Ferenc; University of Szeged; Hungary
Malcom Gethers; University of Maryland; Baltimore County; USA
Mike Godfrey; University of Waterloo; Canada
Rajiv Gupta; Univeristy of California Riverside; USA
Sonia Haiduc; Florida State University; USA
Felienne Hermans; Delft University of Technology; Netherlands
Emily Hill; Montclair State University; USA
Reid Holmes; University of Waterloo; Canada
Daqing Hou; Clarkson University; USA
Marianne Huchard; LIRMM; Université Montpellier 2 and CNRS; France
Katsuro Inoue; Osaka University; Japan
Jens Knodel; Fraunhofer IESE; Germany;
Kenichi Kobayashi; Fujitsu Laboratories LTD.; Japan
Takashi Kobayashi; Tokyo Institute of Technology; Japan
Rainer Koschke; Universität Bremen; Germany
Jens Krinke; University College London; UK
Leen Lambers; Hasso-Plattner-Institut; Universität Potsdam; Germany
Dawn Lawrie; Loyola University Maryland; USA
Claire Le Goues; Carnegie Mellon University; USA
David Lo; Singapore Management University; Singapore
Cristina Marinescu; Politehnica University of Timisoara; Rumania
Hong Mei; Peking University; China
Tom Mens; University of Mons; Belgium
Meiyappan  Nagappan; Queen's University; Canada
Tung Nguyen; Iowa State University; USA
Tien Nguyen; Iowa State University; USA
Ekaterina Pek; Google; USA
Xin Peng; Fudan University; China
Martin Pinzinger; University of Klagenfurt; Austria
Jochen Quante; Robert Bosch GmbH; Germany
Pedro Rangel Henriques; Universidade do Minho; Portugal
Sarah Rastkar; University of British Columbia; Canada
Steven Reiss; Brown University; USA
Martin Robillard; McGill University; Canada
Brian Robinson; ABB Inc.; US Corporate Research; USA
Gregorio Robles; Universidad Rey Juan Carlos; Spain
Kevin  Schneider; University of Saskatchewan; Canada
Carolyn Seaman; University of Meriland; Baltimore County; USA
Alexander Serebrenik; Eindhoven University of Technology; Netherlands
David Shepherd; ABB Inc.; USA
Janet  Siegmund; University of Passau; Germany
Kathryn Stolee; Iowa State University; USA
Lin Tan; University of Waterloo; Canada
Ewan Tempero; The University of Auckland; New Zealand
Suresh Thummalapenta; North Carolina State University; USA
Marco Tulio Valente; Universidad Federal de Minas Gerais; Brazil
Mark van den Brand; Eindhoven University of Technology; Netherlands
Tanja E. J. Vos; Universitat Politècnica de València; Spain
Michel Wermelinger; The Open University; UK
Lingming Zhang; University of Texas at Austin; USA
Hongyu Zhang; Tsinghua University; China
Andy Zaidman; TU Delft; Netherlands
Denys Poshyvanyk; College of William and Mary; USA
Foutse Khomh; DGIGL; École Polytechnique de Montréal; Canada
Huzefa Kagdi; Wichita State University; USA
Mehdi Mirakhorli; DePaul University; USA
Ali Mesbah; University of British Columbia; Canada
Emad Shihab; Rochester Institute of Technology; USA
Iulian Neamtiu; University of California; Riverside; USA
Mark Grechanik; University of Illinois at Chicago; USA
Nan Niu; Mississippi State University; USA
Giuseppe Scanniello; Dipartimento di Matematica Informatica e Economia; Italy
Nicholas Kraft; The University of Alabama; USA
Rocco Oliveto; University of Molise - Department of Bioscience and Territory; Italy
Coen De Roover; Vrije Universiteit Brussel; Belgium
Filippo Ricca; DIBRIS - Università di Genova; Italy;
Dave Binkley. Loyola University Maryland; USA
Nikolaos Tsantalis;  Department of Computer Science and Software Engineering; Concordia University; Canada
Collin McMillan;  University of Notre Dame; USA
Leif Singer; University of Victoria; Canada
Giulio Antoniol; École Polytechnique de Montréal; Canada
Christoph Treude; McGuill University; Canada
Serge Demeyer; Ansymo group; Universiteit Antwerpen; Belgium
Thomas Fritz; University of Zurich; Switzerland
Georgios Gousios;  Delft University of Technology; Netherlands
Fabian Beck; VISUS; University of Stuttgart; Germany
Massimiliano Di Penta; Department of Engineering - University of Sannio; Italy
Peter Rigby; Concordia University; Canada
Bram Adams; MCIS; École Polytechnique de Montréal; Canada
Radu Marinescu; Politehnica University of Timisoara; Romania
Harald Gall;  University of Zürich; Switzerland
Neil Walkinshaw;  The University of Leicester; UK
Jonathan Maletic; Kent State University; USA
Andrea De Lucia; Department of Mathematics and Informatics - University of Salerno; Italy
Mircea Lungu; University of Bern; Switzerland
Abram Hindle; University of Alberta; Canada
Daniel German; University of Victoria; Canada
Foutse Khomh; DGIGL; École Polytechnique de Montréal; Canada
Nicholas Kraft; The University of Alabama; USA
Mark Grechanik; University of Illinois at Chicago; USA
Denys Poshyvanyk; College of William and Mary; USA
Bram  Adams; MCIS; École Polytechnique de Montréal; Canada
Christopher Corley; The University of Alabama; USA
Emad Shihab; Rochester Institute of Technology; USA
Shane Mcintosh; SAIL; Queen's University; Canada
Ali Mesbah; University of British Columbia; Canada
Coen De Roover; Osaka University; Japan
Scott  Grant; School of Computing; Queen's University; Canada
Kostas Kontogiannis; University of Waterloo; Canada and National Technical University of Athens (NTUA); Greece
Michael Collard; The University of Akron; USA
Dave Binkley; Loyola University Maryland; USA
Peter  Rigby; Concordia University; Canada
Nicolas Gold; University College London; UK
Andrea De Lucia; Department of Mathematics and Informatics - University of Salerno; Italy
Emily Hill; Montclair State University; USA
Marios Fokaefs; University of Alberta; Canada
Jens Krinke; University College London; UK
Grace Lewis; Carnegie Mellon Software Engineering Institute; USA
Marin Litoiu; York University; Canada
Carl Worms; Credit Suisse; Switzerland
Paul Anderson; GrammaTech Inc.; USA
Thomas Dean; Queens University; Canada
Parmit Chilana; University of Waterloo; Canada
Volker Gruhn; Universitat Duisburg-Essen; Germany
Felienne Hermans; Delft University of Technology; The Netherlands
Ahmed Hassan; Queen's University; Canada
Jens Knodel; Fraunhofer IESE; Germany
Ralf Lämmel; University of Koblenz-Landau; Germany
Grace Lewis; Carnegie Mellon Software Engineering Institute; USA
Marin Litoiu; York University; Canada
Radu Marinescu; Politehnica University of Timisoara; Romania
Robert Nord; Carnegie Mellon Software Engineering Institute; USA
Ipek Ozkaya; Carnegie Mellon Software Engineering Institute; USA
Tarmo Ploom; Credit Suisse; Switzerland
Xiao Qu; ABB Research; USA
Jochen Quante; Robert Bosch GmbH; Germany
Arthur Ryman; IBM Canada; Canada
Christa Schwanninger; Siemens; Germany
Vassilios Tzerpos; York University; Canada
Mark van den Brand; Eindhoven University of Technology; The Netherlands
Andreas Winter; Carl von Ossietzky University; Germany
Carl Worms; Credit Suisse; Switzerland
Mark Grechanik; University of Illinois at Chicago; USA
Jack Zhenming Jiang; York University; Canada
James Cordy; Queen's University; Canada
Margarate-Anne Storey; University of Victoria; Canada
Arie van Deursen; T.U. Delft; Netherlands
Gail Murphy; University of British Columbia; Canada
Filippo Lanubile; University of Bari; Italy
Eleni Stroulia; University of Alberta; Canada
