Thomas Arts; Quviq AB & IT University; Sweden
André Baresel; Q-viTECH; Germany
Leonardo Bottaci; University of Hull; UK
Koen Claessen; Chalmers University of Technology; Sweden
John Clark; University of York; UK
Myra Cohen; University of Nebraska-Lincoln; USA
Massimiliano Di Penta; University of Sannio; Italy
Volker Gruhn; University of Leipzig; Germany
Mark Harman; King's College; UK
Gregory Kapfhammer; Allegheny College; USA
Bogdan Korel; Illinois Institute of Technology; USA
Yvan Labiche; Carleton University; Canada
Paolo Tonella; Fondazione Bruno Kessler; Italy
Javier Tuya; tuya@uniovi.es; Universidad de Oviedo; Spain
Tanja Vos; Universidad Politecnica de Valencia; Spain
Joachim Wegener; Berner & Mattner Systemtechnik GmbH; Germany
