Bernhard Aichernig; TU Graz; Austria
Nadia Alshahwan; University College London; UK
Paul Ammann; George Mason University; USA
Anneliese Andrews; University of Denver; USA
Andrea Arcuri; Scienta; Norway; and University of Luxemburg
Tom Ball; Microsoft Research; USA
Bob Binder; System Verification Associates; LLC; USA
Lionel Briand; University of Luxembourg; Luxembourg
Jeffrey Carver; University of Alabama; USA
Byoungju Choi; Ewha Woman’s University; Korea
James Clause; University of Delaware; USA
Ian Craggs; IBM United Kingdom; UK
Christoph Csallner; University of Texas at Arlington; USA
Bojan Cukic; University of North Carolina at Charlotte; USA
Marcio Eduardo Delamaro; Universidade de Sao Paulo; Brazil
Massimiliano Di Penta; Dept. of Engineering – University of Sannio; Italy
Hyunsook Do; North Dakota State University; USA
Michael Felderer; University of Innsbruck; Austria
Vahid Garousi; Atilim University; Turkey
Arnaud Gotlieb; SIMULA Research Laboratory; Norway
Mark Grechanik; University of Illinois at Chicago; USA
Wolfgang Grieskamp; Google; USA
William G.J. Halfond; University of Southern California; USA
Toru Hasegawa; Osaka University; USA
Rob Hierons; Brunel University; UK
Florentin Ipate; University of Bucharest; Romania
Raghu Kacker; NIST; USA
Aditya Kanade; Indian Institute of Science; India
Sarfraz Khurshid; The University of Texas at Austin; USA
Moonzoo Kim; KAIST; Korea
Bogdan Korel; Illinois Institute of Technology; USA
Rick Kuhn; NIST; USA
Yu Lei; University of Texas at Arlington; USA
Eda Marchetti; ISTI-CNR; Italy
Leonardo Mariani; University of Milano Bicocca; Italy
Wes Masri; American University of Beirut; Lebanon
Atif Memon; University of Maryland; USA
Tejeddine Mouelhi; University of Luxembourg; Luxembourg
Brian Nielsen; Aalborg University; Denmark
Manuel Oriol; ABB Corporate Research; Switzerland
Tom Ostrand; Rutgers University; USA
Mauro Pezze; University of Lugano; Switzerland
Lori Pollock; University of Delaware; USA
Marc Roper; University of Strathclyde; UK
Gregg Rothermel; University of Nebraska – Lincoln; USA
Abhik Roychoudhury; National University of Singapore; Singapore
Per Runeson; Lund University; Sweden
Vasile Rus; The University of Memphis; USA
Junaid Haroon Siddiqui; UT Austin; USA
Saurabh Sinha; IBM Research; India
Mary Lou Soffa; University of Virginia; USA
Sara Sprenkle; Washington & Lee University; USA
Paul Strooper; The University of Queensland; Australia
Lin Tan; University of Waterloo; Canada
Nikolai Tillmann; Microsoft Research; USA
Paolo Tonella; Fondazione Bruno Kessler – IRST; Italy
Jan Tretmans; TNO – Embedded Systems Innovation; Netherlands
T.H. Tse; The University of Hong Kong; Hong Kong
Tatsuhiro Tsuchiya; Osaka University; Japan
Mark Utting; University of Waikato; New Zealand
Arie van Deursen; Delft University of Technology; Netherlands
Miroslav Velev; Aries Design Automation; USA
Helene Waeselynck; LAAS-CNRS; France
Neil Walkinshaw; University of Leicester; UK
Hironori Washizaki; Waseda University; Japan
Stephan Weissleder; Thales; Germany
Michael Whalen; University of Minnesota; USA
Tao Xie; University of Illinois at Urbana-Champaign; USA
Nina Yevtushenko; Tomsk State University; Russia
Xiangyu Zhang; Purdue University; USA
Peter Zimmerer; Siemens AG; Germany
Thomas Zimmermann; Microsoft Research; USA
