Paul Amman; ISE Department; George Mason University; USA
Jo Atlee; University of Waterloo; Canada
George Avrunin; University of Massachussetts; USA
Tevfik Bultan; Computer Science Department; University of California; Santa Barbara; USA
Laura Dillon; Michigan State University; USA
István Forgács; Balthazar Ltd. - Balthazar Magyarország Kft.; Hungary
Marie-Claude Gaudel; University of Paris Sud - Université de Paris-Sud Orsay; France
Richard Hamlet; Portland State University; USA
Mary Jean Harrold; Georgia Institute of Technology; USA
Michael Hind; IBM T.J. Watson Research Center; USA
Daniel Jackson; Lab for Computer Science MIT; USA
Gleb Naumovich; Dept. of Computer and Info Science; Polytechnic University; Brooklyn; USA
Tom Ostrand; AT&T Labs Research; USA
Mauro Pezzè; Università degli Studi di Milano - Bicocca; Italy
Lori Pollock; Department of Computer and Information Sciences; University of Delaware; USA
Gregg Rothermel; Department of Computer Science; Oregon State University; USA
Hasan Ural; School of Information Tech & Eng; Faculty of Engineering; University of Ottawa; Canada
Martin Woodward; Department of Computer Science; University of Liverpool; UK
