Annie Antón; North Carolina State University; USA
Joanne Atlee; University of Waterloo; Canada
Dan Berry; University of Waterloo; Canada
Marsha Chechik; University of Toronto; Canada
Betty Cheng; Michigan State University; USA
Eric Dubois; Centre de Recherche Public Henri Tudor; Luxembourg
Martin Feather; NASA Jet Propulsion Lab; USA
José Fiadeiro; University of Lisbon; Portugal
Steve Fickas; University of Oregon; USA
Anthony Finkelstein; University College London; UK
Martin Glinz; University of Zürich; Switzerland
Michael Goedicke; University of Essen; Germany
Sol Greenspan; Verizon Communications; USA
Anthony Hall; Praxis Critical Systems; UK
Mats Heimdahl; University of Minnesota; USA
Constance Heitmeyer; Naval Research Lab; USA
Michael Jackson; Independent Consultant; UK
Stan Jarzabek; National University of Singapore; Singapore
Simon Kaplan; The University of Queensland; Australia
Julio Cesar Leite; PUC-Rio; Brazil
Pericles Loucopoulos; UMIST; UK
Kalle Lyytinen; University of Jyväskylä; Finland
Robyn Lutz ; JPL/Iowa State University; USA
Andreas Opdahl; University of Bergen; Norway
Neil Maiden; City University; UK
John Mylopoulos; University of Toronto; Canada
Klaus Pohl; University of Essen; Germany
Colin Potts; Georgia Institute of Technology; USA
Suzanne Robertson ; The Atlantic Systems Guild Ltd.; UK
William Robinson; Georgia State University; USA
Colette Roland; University of Paris 1; France
Linda Rosenberg; NASA Goddard Space Flight Center; USA
Alessandra Russo; Imperial College; UK
Kevin Ryan; University of Limerick; Ireland
Motoshi Saeki; Tokyo Institute of Technology; Japan
Alistair Sutcliffe; UMIST; UK
Tetsuo Tamai; University of Tokyo; Japan
Roel Wieringa; University of Twente; Holland
Eric Yu; University of Toronto; Canada
Axel van Lamsweerde; Universite Catholique de Louvain; Belgium
David Weiss; Avaya Communication; USA
Didar Zowghi; University of Technology; Sydney (UTS); Australia
