Annie Anton; North Carolina State University; U.S.A.
Joanne Atlee; University of Waterloo; Canada
Dan Berry; University of Waterloo ; Canada
Sjaak Brinkkemper; Emendas; Netherlands
Betty Cheng; Michigan State University; U.S.A.
Al Davis; University of Colorado at Colorado Springs; U.S.A.
Eric Dubois; Centre de Recherche Public Henri Tudor; Luxembourg
Steve Easterbrook; University of Toronto; Canada
Christof Ebert; Alcatel; France
Steve Fickas; University of Oregon; U.S.A.
Anthony Finkelstein; University College London; U.K.
Don Gause; State University of New York at Binghamton; U.S.A.
Carlo Ghezzi; Politecnico di Milano-Dip. di Elettronica e Informazione; Italy
Martin Glinz; University of Zurich; Switzerland
Michael Goedicke; University of Essen; Germany
Sol Greenspan; National Science Foundation; U.S.A.
Anthony Hall; Praxis Critical Systems; U.K.
Mats Heimdahl; University of Minnesota; Twin Cities; U.S.A.
Constance Heitmeyer; Naval Research Laboratory; U.S.A.
Peter In; Texas A&M University; U.S.A.
Michael Jackson; Independent Consultant; U.K.
Matthias Jarke; RWTH Aachen; Germany
Marina Jirotka; Oxford University Computing Laboratory; U.K.
Nader Kameli; Guidant; U.S.A.
Soren Lauesen; IT University; Denmark
Julio Leite; PUC-Rio; Brazil
Michel Lemoine; ONERA Cdt/DPRS/SAE; France
Pericles Loucopoulos; UMIST; U.K.
Robyn Lutz; Iowa State University & Jet Propulsion Lab; U.S.A.
Neil Maiden; City University; U.K.
John Mylopoulos; University of Toronto; Canada
Bashar Nuseibeh; The Open University; U.K.
Andreas Opdahl; University of Bergen; Norway
Oscar Pastor; Universidad Plitecnica de Valencia; Spain
Klaus Pohl; University of Essen; Germany
Colin Potts; Georgia Institute of Technology; U.S.A
Bjorn Regnell; Lund University; Sweden
Bill Robinson; Georgia State University; U.S.A
Colette Rolland; Centre de Recherche en Informatique; France
Kevin Ryan; University of Limerick; Ireland
Motoshi Saeki; Tokyo Institute of Technology; Japan
Andy Schuerr; Darmstadt University of Technology; Merckstr; Germany
Jawed Siddiqi; Sheffield Hallam University; U.K.
Arne Solvberg; Norwegian University of Science and Technology; Norway
Ian Sommerville; Lancaster University; U.K.
Alistair Sutcliffe; UMIST  ; U.K.
Tetsuo Tamai; University of Tokyo; Japan
Eric Yu; University of Toronto; Canada
Axel van Lamsweerde; University catholique de Louvain; Belgium
Didar Zowghi; University of Technology; Sydney; Australia
