Ian Alexander; Independent Consultant; UK
Mikio Aoyama; Nanzan University; Japan
Daniel Berry; University of Waterloo; Canada
Corine Cauvet; Université d'Aix-Marseille; France
Marsha Chechik; University of Toronto; Canada
Betty Cheng; Michigan State University; USA
Daniela Damian; University of Victoria; Canada
Nancy Day; University of Waterloo; Canada
Eric Dubois; Centre de Recherche Public Henri Tudor; Luxemburg
Steve Easterbrook; University of Toronto; Canada
Christof Ebert; Alcatel; France
Anthony Finkelstein; University College London; UK
Donald C. Gause; Binghamton University; USA
Vincenzo Gervasi; University of Pisa; Italy
Martin Glinz; Universität Zürich; Switzerland
Orlena Gotel; Pace University; USA
Sol Greenspan; National Science Foundation; USA
Robert J. Hall; AT&T Laboratories Research; USA
Leo Hartman; Canadian Space Agency; Canada
Mats Heimdahl; University of Minnesota; USA
Constance Heitmeyer; Naval Research Laboratory; USA
Patrick Heymans; University of Namur; Belgium
Julio Leite; PUC-Rio; Brazil
Michel Lemoine; ONERA; France
Robyn Lutz; Iowa State University/Jet Propulsion Lab; USA
Nazim Madhavji; University of Western Ontario; Canada
Neil Maiden; City University; UK
John Mylopoulos; University of Toronto; Canada
Oscar Pastor; DSIC-UPV; Spain
Klaus Pohl; University Duisburg-Essen; Germany
Björn Regnell; Lund University; Sweden
Kevin Ryan; University of Limerick; Ireland
Motoshi Saeki; Tokyo Institute of Technology; Japan
Erik Simmons; Intel Corporation; USA
Alistair Sutcliffe; UMIST; UK
Tetsuo Tamai; University of Tokyo; Japan
Sebastian Uchitel; Imperial College London; UK
Roel Wieringa; University of Twente; Netherlands
Pamela Zave; AT&T Laboratories-Research; USA
Didar Zowghi; University of Technology-Sydney; Australia
