Ian Alexander; UK
Daniel Amyot; Canada
Mikio Aoyama; Japan
Joanne Atlee; Canada
Daniel Berry; Canada
Jaelson Castro; Brazil
Marsha Chechik; Canada
Daniela Damian; Canada
Nancy Day; Canada
Eric Dubois; Luxembourg
Christof Ebert; France
Martin Feather; USA
Steve Fickas; USA
Anthony Finkelstein; UK
Xavier Franch; Spain
Donald C. Gause; USA
Vincenzo Gervasi; Italy
Carlo Ghezzi; Italy
Holger Giese; Germany
Michael Goedicke; Germany
Orlena Gotel; USA
Anthony Hall; UK
Jane Hayes; USA
Mats Heimdahl; USA
Constance Heitmeyer; USA
Patrick Heymans; Belgium
Frank Houdek; Germany
Pankaj Jalote; India
Marina Jirotka; UK
Natalia Juristo; Spain
Søren Lauesen; Denmark
Julio Leite; Brazil
Michel Lemoine; France
Emmanuel Letier; Belgium
Nazim Madhavji; Canada
John Mylopoulos; Canada
Andreas Opdahl; Norway
Barbara Paech; Germany
Oscar Pastor; Spain
Björn Regnell; Sweden
Bill Robinson; USA
Kevin Ryan; Ireland
Guttorm Sindre; Norway
Erik Simmons; USA
Tetsuo Tamai; Japan
Jeffrey Thompson; USA
Alain Wegmann; Switzerland
Eric Yu; Canada
Didar Zowghi; Australia
