Bram Adams; École Polytechnique de Montréal
Nicolas Anquetil; University of Lille-1
Alberto Bacchelli; Delft University of Technology
Gabriele Bavota; Free University of Bozen-Bolzano;  Italy
Olga Baysal; University of Montreal;  Canada
Alexandre Bergel; University of Chile
Árpád Beszédes; Department of Software Engineering;  University of Szeged
Dave Binkley; Loyola University Maryland
Christian Bird; Microsoft Research
Andrea Capiluppi; Brunel University
Jean-Rémy Falleri; Institut Polytechnique de Bordeaux
Keith Brian Gallagher; Florida Institute of Technology
Harald Gall; University of Zurich
Daniel German; University of Victoria
Nils Göde; CQSE GmbH
Mike Godfrey; University of Waterloo
Yann-Gaël Guéhéneuc; École Polytechnique de Montréal
Latifa Guerrouj; Concordia University
Sonia Haiduc; Florida State University
Jane Hayes; University of Kentucky
Emily Hill; Drew University
Abram Hindle; University of Alberta
Daqing Hou; Clarkson University
Marianne Huchard; LIRMM;  Université Montpellier 2 et CNRS
Akinori Ihara; Nara Institute of Science and Technology
Katsuro Inoue; Osaka University
Daniel Izquierdo-Cortazar; Bitergia
Yasutaka Kamei; Kyushu University
Siim Karus; University of Tartu
Takashi Kobayashi; Tokyo Institute of Technology
Patricia Lago; VU University Amsterdam
Ralf Lämmel; Universität Koblenz-Landau
David Lo; Singapore Management University
Angela Lozano; Vrije Universiteit Brussel
Mircea Lungu; University of Bern
Mika Mäntylä; Aalto University
Alessandro Marchetto; Independent Researcher
Cristina Marinescu; Politehnica University of Timisoara
Ali Mesbah; University of British Columbia
Mehdi Mirakhorli; Rochester Institute of Technology
Audris Mockus; University of Tennessee
Leon Moonen; Simula Research Laboratory
Tukaram Muske; Tata Consultancy Services Ltd
Meiyappan Nagappan; Rochester Institute of Technology
Iulian Neamtiu; University of California;  Riverside
Ipek Ozkaya; Carnegie Mellon Software Engineering Institute
Ekaterina Pek; Google Germany GmbH
Lori Pollock; University of Delaware
Jochen Quante; Robert Bosch GmbH
Gregorio Robles; Universidad Rey Juan Carlos
Giuseppe Scanniello; University of Basilicata
Sibylle Schupp; Hamburg Univ. of Technology;  Germany
Alexander Serebrenik; Eindhoven University of Technology
Weiyi Shang; SAIL;  Queen's University
Bonita Sharif; Youngstown State University
David Shepherd; ABB;  Inc
Emad Shihab; Concordia University
Vibha Sinha; IBM Research Lab;  India
Diomidis Spinellis; Athens University of Economics and Business
Ashish Sureka; Indraprastha Institute of Information Technology (IIIT)
Lin Tan; University of Waterloo
Marco Tulio Valente; UFMG
Bogdan Vasilescu; University of California;  Davis
Jurgen Vinju; Centrum Wiskunde & Informatica
Michel Wermelinger; The Open University
Zhenchang Xing; Nanyang Technological University
Dongmei Zhang; Microsoft Research
Hongyu Zhang; Tsinghua University
Thomas Zimmermann; Microsoft Research
Ying Zou; Queen's University
