Enrique Alba; University of Málaga; Spain
Nadia Alshahwan; University of Luxembourg; Luxembourg
Giuliano Antoniol; Ecole Polytechnique de Montrèal; Canada
Andrea Arcuri; Simula Research Laboratory; Norway
Marcio Barros; Universidade Federal do Estado do Rio de Janeiro; Brazil
Leonardo Bottaci; University of Hull; UK
Francisco Chicano; University of M·laga; Spain
John Clark; University of York; UK
Mel Ó Cinnèide; University College Dublin; Ireland
Myra Cohen; University of Nebraska at Lincoln; USA
Massimiliano Di Penta; University of Sannio; Italy
Robert Feldt; University of Blekinge; Chalmers University of Technology; Sweden
Vahid Garousi; University of Calgary; Cadana
Mathew Hall; University of Sheffield; UK
Mark Harman; University College London; UK
Rob Hierons; Brunel University; UK
Colin Johnson; University of Kent; UK
Fitsum Meshesha Kifetew; University of Trento; Italy
Yvan Labiche; Carleton University; Canada
Kiran Lakhotia; University College London; UK
Spiros Mancoridis; Drexel University; USA
Phil McMinn; University of Sheffield; UK
Alan Millard; University of York; UK
Leandro Minku; University of Birmingham; UK
Pasqualina Potena; University of Bergamo; Italy
Simon Poulding; University of York; UK
Xiao Qu; ABB Corporate Research; USA
Marek Reformat; University of Alberta; USA
Marc Roper; University of Strathclyde; UK
Federica Sarro; University College London; UK
Jerffeson Souza; State University of Ceara; Brazil
Angelo Susi; Fondazione Bruno Kessler – IRST; Italy
Paolo Tonella; Fondazione Bruno Kessler – IRST; Italy
Silvia Vergilio; Universidade Federal do Paraná; Brazil
Tanja Vos; Universidad Politécnica de Valencia; Spain
Joachim Wegener; Berner and Mattner; Germany
Westley Weimer; University of Virginia; USA
David White; University of Glasgow; UK
