Enrique Alba; University of Málaga; Spain.
Shaukat Ali; Simula Research Laboratory; Norway.
Giuliano Antoniol; Ecole Polytechnique de Montréal; Canada.
Andrea Arcuri; Schlumberger and Simula Research Laboratory; Norway.
Leonardo Bottaci; University of Hull; UK.
Betty Cheng; Michigan State University; USA.
Francisco Chicano; University of Málaga; Spain.
Myra Cohen; University of Nebraska-Lincoln; USA.
Massimiliano Di Penta; University of Sannio; Italy.
Arilo Claudio Dias-Neto; Universidade Federal do Amazonas; Brazil.
Robert Feldt; Blekinge Institute of Technology; Sweden.
Gordon Fraser; University of Sheffield; UK.
Mathew Hall; University of Sheffield; UK.
Mark Harman; University College London; UK.
Colin Johnson; University of Kent; UK.
Gregory Kapfhammer; Allegheny College; USA.
Marouane Kessentini; University of Michigan; USA.
Dongsun Kim; University of Luxembourg; Luxembourg.
Yvan Labiche; Carleton University; Canada.
Raluca Lefticaru; University of Bucharest; Romania.
Zheng Li; Beijing University of Chemical Technology; China.
Spiros Mancoridis; Drexel University; USA.
Auri Marcelo Rizzo Vincenzi; Universidade Federal de Goiás; Brazil.
Tim Menzies; North Carolina State University; USA.
Fitsum Meshesha Kifetew; Fondazione Bruno Kessler; Italy
Leandro Minku; The University of Birmingham; UK.
Martin Monperrus; University of Lille; France.
Mel Ó Cinnéide; University College Dublin; Ireland.
Justna Petke; University College London; UK.
Pasqualina Potena; University of Alcalá; Spain.
Simon Poulding; University of York; UK.
Xiao Qu; ABB Corporate Research; USA.
Marc Roper; University of Strathclyde; UK.
Federica Sarro; University College London; UK.
Chris Simon; University of the West of England; UK.
Lee Spector; Hampshire College; USA.
Angelo Susi; Fondazione Bruno Kessler – IRST; Italy.
Jerry Swan; University of Stirling; UK.
Paolo Tonella; Fondazione Bruno Kessler – IRST; Italy
Silvia Vergilio; Universidade Federal do Paraná; Brazil.
Tanja E. J. Vos; Universidad Politècnica de València; Spain.
David White; University of Glasgow; UK.
Xin Yao; University of Birmingham; UK.
