Abram Hindle; University of California; USA
Alberto Bacchelli; University of Lugano; Switzerland
Alexandre Bergel; University of Chile; Chile
Ali Mesbah; University of British Columbia; Canada
Andrea De Lucia; University of Salerno; Italy
Andreas Winter; Carl von Ossietzky University; Germany
Andrew Sutton; Texas A&M University; USA
Andrian Marcus; Wayne State University; USA
Andy Zaidman; Delft University of Technology; Netherlands
Annibale Panichella; University of Salerno; Italy
Anthony Cleve; University of Namur; Belgium
Bram Adams; Ecole Polytechnique de Montreal; Canada
Chanchal Roy; University of Saskatchewan; Canada
Collin Mcmillan; University of Notre-Dame; USA
Daqing Hou; Clarkson University; USA
David Lo; Singapore Management University; Singapore
David Roethlisberger; UTFSM; Chile
Dawn J. Lawrie; Loyola University Maryland; USA
Denys Poshyvanyk; College of William and Mary; USA
Dirk Beyer; Simon Fraser University; Canada
Emad Shihab; Rochester Institute of Technology; USA
Elmar Juergens; CQSE GmbH; Germany
Emily Hill; Montclair State University; USA
Filippo Ricca; University of Genova; Italy
Foutse Khomh; Queen's University; Canada
Gabriele Bavota; University of Sannio; Italy
Gerardo Canfora; University of Sannio; Italy
Giuliano Antoniol; Ecole Polytechnique de Montreal; Canada
Hausi Muller; University of Victoria; Canada
Huzefa Kagdi; Wichita State University; USA
Jairo Aponte; Universidad Nacional de Colombia; Colombia
James Cordy; Queen's University; Canada
Jens Knodel; Fraunhover IESE; Germany
Jens Krinke; University College London; UK
Jonathan Maletic; Kent State University; USA
Jorge Figeiredo; Universidade Federal de Campina Grande; Brazil
Latifa Guerrouj; Ecole Polytechnique de Montreal; Canada
Lingxiao Jiang; Singapore Management University; Singapore
Lori Pollock; University of Delaware; USA
Lu Zhang; Peking University; China
Malcom Gethers; University of Maryland; USA
Mariano Ceccato; Fondazione Bruno Kessler; Italy
Mark Grechanik; Accenture Technology Labs and University of Illinois; USA
Mark Harman; University College London; UK
Martin Pinzger; Delft University of Technology; Netherlands
Massimiliano Di Penta; University of Sannio; Italy
Michael Collard; The University of Akron; USA
Mircea Lungu; University of Bern; Switzerland
Murray Wood; University of Strathclyde ; UK
Nabor Mendonca; University of Fortaleza; Brazil
Nicholas Kraft; The University of Alabama; USA
Radu Marinescu; Politehnica University of Timisoara; Romania
Raghavan Komondoor; Indian Institute of Science; India
Rainer Koschke; University of Bremen; Germany
Sonia Haiduc; Wayne State University; USA
Spiros Mancoridis; Drexel University; USA
Thomas Fritz; University of Zurich; Switzerland
Tom Dean; Queen's University; Canada
Vassilios Tzerpos; York University; Canada
Ying Zou; Queen's University; Canada
Zhenchang Xing; National University of Singapore; Singapore
Zheng Li; Bejing University of Chemical Technology; China
